"grupo","nMxB","nMxT","nPxW","Bpadron","Tpadron"
"0-1",0.0069,0.022,272161.8345,0.01,0.1
"1-4",4e-04,0.0023,549896.8135,0,0.02
"5-9",3e-04,9e-04,673815.0815,0,0.01
"10-14",3e-04,9e-04,638097.1725,0,0.01
"15-19",6e-04,0.0015,610706.2035,0,0.02
"20-24",0.001,0.0019,595436.744,0,0.02
"25-29",0.0012,0.0023,606868.8465,0,0.02
"30-34",0.0015,0.0029,582457.586,0,0.03
"35-39",0.002,0.0039,529248.4205,0,0.03
"40-44",0.0028,0.0052,482178.481,0.01,0.04
"45-49",0.0039,0.0073,472843.1765,0.01,0.06
"50-54",0.0057,0.0105,428774.897,0.01,0.08
"55-59",0.0083,0.015,354090.792,0.01,0.09
"60-64",0.0132,0.0228,311299.541,0.02,0.12
"65-69",0.0208,0.0345,245657.713,0.02,0.14
"70-74",0.0341,0.0527,167154.179,0.03,0.15
"75-79",0.055,0.0796,116519.142,0.03,0.15
"80-100",0.1395,0.1472,127744.4085,0.08,0.31
