"grupo","nMxB","nMxT","nPxW"
"0-1",0.0069,0.022,272161.8345
"1-4",4e-04,0.0023,549896.8135
"5-9",3e-04,9e-04,673815.0815
"10-14",3e-04,9e-04,638097.1725
"15-19",6e-04,0.0015,610706.2035
"20-24",0.001,0.0019,595436.744
"25-29",0.0012,0.0023,606868.8465
"30-34",0.0015,0.0029,582457.586
"35-39",0.002,0.0039,529248.4205
"40-44",0.0028,0.0052,482178.481
"45-49",0.0039,0.0073,472843.1765
"50-54",0.0057,0.0105,428774.897
"55-59",0.0083,0.015,354090.792
"60-64",0.0132,0.0228,311299.541
"65-69",0.0208,0.0345,245657.713
"70-74",0.0341,0.0527,167154.179
"75-79",0.055,0.0796,116519.142
"80-100",0.1395,0.1472,127744.4085
"Total",0.0066,0.006,7764951.0325
