"grupo","nDxW","nPxW","nMxW"
"0-1",4472.946,272161.8345,0.0164
"1-4",1054.388,549896.8135,0.0019
"5-9",636.216,673815.0815,9e-04
"10-14",472.182,638097.1725,7e-04
"15-19",709.575,610706.2035,0.0012
"20-24",870.377,595436.744,0.0015
"25-29",963.471,606868.8465,0.0016
"30-34",1074.181,582457.586,0.0018
"35-39",1240.613,529248.4205,0.0023
"40-44",1498.393,482178.481,0.0031
"45-49",1993.505,472843.1765,0.0042
"50-54",2741.625,428774.897,0.0064
"55-59",3407.183,354090.792,0.0096
"60-64",4555.459,311299.541,0.0146
"65-69",5417.377,245657.713,0.0221
"70-74",5663.386,167154.179,0.0339
"75-79",6197.373,116519.142,0.0532
"80-100",14970.275,127744.4085,0.1172
"Total",57938.525,7764951.0325,0.0075
