"grupo","nDxB","nPxB","nMxB","nDxT","nPxT","nMxT"
"0-1",40.179,5816.6705,0.0069,92.552,4206.2655,0.022
"1-4",4.119,11713.3095,4e-04,17.852,7713.8,0.0023
"5-9",3.815,14861.437,3e-04,7.77,8422.715,9e-04
"10-14",4.107,15551.778,3e-04,6.422,7488.952,9e-04
"15-19",10.011,16608.9995,6e-04,9.018,6205.124,0.0015
"20-24",16.502,17165.586,0.001,9.671,4974.6485,0.0019
"25-29",20.723,17162.534,0.0012,9.7,4204.7645,0.0023
"30-34",26.507,17601.582,0.0015,10.841,3743.4615,0.0029
"35-39",33.935,16937.543,0.002,12.427,3217.9265,0.0039
"40-44",42.067,15035.0765,0.0028,13.323,2542.2975,0.0052
"45-49",52.473,13468.653,0.0039,14.045,1913.744,0.0073
"50-54",71.488,12468.2415,0.0057,15.225,1453.4895,0.0105
"55-59",91.947,11047.034,0.0083,17.24,1148.588,0.015
"60-64",117.102,8902.9885,0.0132,21.42,939.07,0.0228
"65-69",142.16,6844.666,0.0208,24.668,714.696,0.0345
"70-74",158.9,4661.291,0.0341,26.905,510.2005,0.0527
"75-79",177.365,3225.25,0.055,21.742,273.1,0.0796
"80-100",378.036,2710.238,0.1395,29.401,199.736,0.1472
"Total",1391.436,211782.878,0.0066,360.222,59872.579,0.006
