"grupo_etario","ano","populacao","Freq","TFG"
"15-19",2010,268523,87476,325.767252712058
"20-24",2010,278422,87476,314.18494228186
"25-29",2010,282909,87476,309.201898843798
"30-34",2010,273157,87476,320.240740672946
"35-39",2010,244076,87476,358.396565004343
"40-44",2010,222313,87476,393.481262904104
"45-49",2010,192813,87476,453.683102280448
"15-19",2019,258617,96112,371.638368707394
"20-24",2019,285968,96112,336.093548928551
"25-29",2019,294862,96112,325.955870881972
"30-34",2019,300628,96112,319.70408611307
"35-39",2019,294094,96112,326.807075288853
"40-44",2019,274078,96112,350.673895752304
"45-49",2019,241266,96112,398.365289763166
"15-19",2021,254555,90961,357.333385712322
"20-24",2021,281270,90961,323.393891989903
"25-29",2021,296044,90961,307.255002634744
"30-34",2021,302849,90961,300.351000003302
"35-39",2021,299459,90961,303.751097813056
"40-44",2021,284974,90961,319.190522644171
"45-49",2021,252928,90961,359.631990131579
