"grupo etário","População 2010","População 2019","População 2021","Numero de óbtos 2010","Numero de óbtos 2019","Numero de óbtos 2021","TBM 2010","TBM 2019","TBM 2021"
"0-4",224390,252489,252530,32656,41025,60712,0.15,0.16,0.24
"5-9",241550,248966,257283,32656,41025,60712,0.14,0.16,0.24
"10-14",264349,242508,244086,32656,41025,60712,0.12,0.17,0.25
"15-19",268523,258617,254555,32656,41025,60712,0.12,0.16,0.24
"20-24",278422,285968,281270,32656,41025,60712,0.12,0.14,0.22
"25-29",282909,294862,296044,32656,41025,60712,0.12,0.14,0.21
"30-34",273157,300628,302849,32656,41025,60712,0.12,0.14,0.2
"35-39",244076,294094,299459,32656,41025,60712,0.13,0.14,0.2
"40-44",222313,274078,284974,32656,41025,60712,0.15,0.15,0.21
"45-49",192813,241266,252928,32656,41025,60712,0.17,0.17,0.24
"50-54",159120,216137,226286,32656,41025,60712,0.21,0.19,0.27
"55-59",126849,182036,194496,32656,41025,60712,0.26,0.23,0.31
"60-64",96827,145519,157629,32656,41025,60712,0.34,0.28,0.39
"65-69",72066,111127,121472,32656,41025,60712,0.45,0.37,0.5
"70-74",54652,78550,86975,32656,41025,60712,0.6,0.52,0.7
"75-79",35704,52869,57608,32656,41025,60712,0.91,0.78,1.05
"80-84",21091,33699,36640,32656,41025,60712,1.55,1.22,1.66
"85-89",10226,16722,18851,32656,41025,60712,3.19,2.45,3.22
"90+",5873,9171,10279,32656,41025,60712,5.56,4.47,5.91
